"FirstAuthor","YearOfPublication","StudyName","StudyDesign","SpecificOutcome","OutcomeSubgroup","AgeAtOutcome","AgeAtOutcomeGroup","DiseaseRisk","Intervention","InterventionGroup","TypeOfBacteria","MaternalInfantAdministration","TimeOfIntervention","TotalNInter","NEventsInter","TotalNCtrl","NEventsCtrl","OverallRiskOfBias","ConflictOfInterestBias","MeanInter","SdInter","MeanCtrl","SdCtrl"
"Abrahamsson","2007","Abrahamsson","RCT","AD","","2","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","95","34","93","32","High/Unclear","High/Unclear","","","",""
"Abrahamsson","2007","Abrahamsson","RCT","AtopicAD","","2","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","76","13","75","21","High/Unclear","High/Unclear","","","",""
"Abrahamsson","2007","Abrahamsson","RCT","RC","","2","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","100","1","100","4","High/Unclear","High/Unclear","","","",""
"Abrahamsson","2007","Abrahamsson","RCT","WHZ","","2","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","94","17","94","15","High/Unclear","High/Unclear","","","",""
"Abrahamsson","2007","Abrahamsson","RCT","WHZ.REC","","2","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","100","7","91","10","High/Unclear","High/Unclear","","","",""
"Abrahamsson","2007","Abrahamsson","RCT","AD","","7","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","94","39","90","36","High/Unclear","High/Unclear","","","",""
"Abrahamsson","2007","Abrahamsson","RCT","AtopicAD","","7","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","80","13","77","11","High/Unclear","High/Unclear","","","",""
"Abrahamsson","2007","Abrahamsson","RCT","LFobsrt","","7","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","57","5","63","3","High/Unclear","High/Unclear","","","",""
"Abrahamsson","2007","Abrahamsson","RCT","LFrev","","7","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","57","7","63","5","High/Unclear","High/Unclear","","","",""
"Abrahamsson","2007","Abrahamsson","RCT","RC","","7","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","94","25","90","18","High/Unclear","High/Unclear","","","",""
"Abrahamsson","2007","Abrahamsson","RCT","WHZ","","7","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","94","18","90","14","High/Unclear","High/Unclear","","","",""
"Abrahamsson","2007","Abrahamsson","RCT","WHZ.REC","","7","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","94","17","90","15","High/Unclear","High/Unclear","","","",""
"Abrahamsson","2007","Abrahamsson","RCT"," ASfd","sIgE - food","2","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","76","26","72","26","High/Unclear","High/Unclear","","","",""
"Abrahamsson","2007","Abrahamsson","RCT"," ASany","SPT - common","2","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","94","17","93","27","High/Unclear","High/Unclear","","","",""
"Abrahamsson","2007","Abrahamsson","RCT","AScm","SPT - cow's milk","2","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","100","4","86","6","High/Unclear","High/Unclear","","","",""
"Abrahamsson","2007","Abrahamsson","RCT"," ASegg","SPT - egg","2","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","93","13","91","21","High/Unclear","High/Unclear","","","",""
"Allen","2012","Allen","RCT","AD","","2","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","214","73","222","72","High/Unclear","High/Unclear","","","",""
"Allen","2012","Allen","RCT","AtopicAD","","2","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","171","9","173","21","High/Unclear","High/Unclear","","","",""
"Allen","2012","Allen","RCT","FAany","","2","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","200","22","204","31","High/Unclear","High/Unclear","","","",""
"Allen","2012","Allen","RCT","RC","","2","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","190","10","201","10","High/Unclear","High/Unclear","","","",""
"Allen","2012","Allen","RCT","WHZ","","2","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","171","23","179","20","High/Unclear","High/Unclear","","","",""
"Allen","2012","Allen","RCT"," ASany","SPT - common","2","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","171","18","173","32","High/Unclear","High/Unclear","","","",""
"Allen","2012","Allen","RCT","AScm","SPT - cow's milk","2","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","171","1","173","6","High/Unclear","High/Unclear","","","",""
"Allen","2012","Allen","RCT"," ASegg","SPT - egg","2","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","171","9","173","19","High/Unclear","High/Unclear","","","",""
"Arslanoglu","2008","Moro","RCT","AD","","2","0to4","High","PRE-SYNB","PREBIOTICS","PREBIO.only","Infant only","Postnatal only","66","9","68","19","High/Unclear","High/Unclear","","","",""
"Arslanoglu","2008","Moro","RCT","WHZ.REC","","2","0to4","High","PRE-SYNB","PREBIOTICS","No L.rhamnosus","Infant only","Postnatal only","66","5","68","14","High/Unclear","High/Unclear","","","",""
"Arslanoglu","2012","Moro","RCT","AD","","5","5to14","High","PRE-SYNB","PREBIOTICS","PREBIO.only","Infant only","Postnatal only","42","8","50","19","High/Unclear","High/Unclear","","","",""
"Arslanoglu","2012","Moro","RCT","RC","","5","5to14","High","PRE-SYNB","PREBIOTICS","PREBIO.only","Infant only","Postnatal only","42","2","50","8","High/Unclear","High/Unclear","","","",""
"Arslanoglu","2012","Moro","RCT","WHZ.REC","","5","5to14","High","PRE-SYNB","PREBIOTICS","No L.rhamnosus","Infant only","Postnatal only","42","8","50","12","High/Unclear","High/Unclear","","","",""
"Boyle","2011","Boyle","RCT","AD","","1","0to4","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","unclear","Other","108","35","102","43","Low","Low","","","",""
"Boyle","2011","Boyle","RCT","AtopicAD","","1","0to4","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","unclear","Other","107","19","101","19","Low","Low","","","",""
"Boyle","2011","Boyle","RCT","WHZ","","1","0to4","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","unclear","Other","122","27","120","29","Low","Low","","","",""
"Boyle","2011","Boyle","RCT"," ASaero","SPT - aero","1","any","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","unclear","Other","107","11","101","11","Low","Low","","","",""
"Boyle","2011","Boyle","RCT"," ASany","SPT - common","1","any","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","unclear","Other","107","35","101","33","Low","Low","","","",""
"Boyle","2011","Boyle","RCT","AScm","SPT - cow's milk","1","any","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","unclear","Other","107","7","101","7","Low","Low","","","",""
"Boyle","2011","Boyle","RCT"," ASegg","SPT - egg","1","any","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","unclear","Other","107","27","101","22","Low","Low","","","",""
"Boyle","2011","Boyle","RCT"," ASfd","SPT - food","1","any","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","unclear","Other","107","31","101","29","Low","Low","","","",""
"Boyle","2011","Boyle","RCT","ASpn","SPT - peanut","1","any","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","unclear","Other","107","7","101","6","Low","Low","","","",""
"Boyle","2016","PATCH","RCT","AD","","1","0to4","High","PRE-SYNB","PREBIOTIC","","Infant only","Postnatal only","347","107","370","112","Low","High/Unclear","","","",""
"Cabana","2015","Cabana","RCT","WHZ.REC","","2","0to4","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","93","20","92","26","High/Unclear","High/Unclear","","","",""
"Cabana","2015","Cabana","RCT","AD","","2","0to4","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","93","34","92","34","High/Unclear","High/Unclear","","","",""
"Dotterud","2010","Pro-PACT","RCT","AD","","2","0to4","Normal/low","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","138","29","140","48","High/Unclear","High/Unclear","","","",""
"Dotterud","2010","Pro-PACT","RCT","AtopicAD","","2","0to4","Normal/low","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","138","9","140","10","High/Unclear","High/Unclear","","","",""
"Dotterud","2010","Pro-PACT","RCT","RC","","2","0to4","Normal/low","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","138","1","140","1","High/Unclear","High/Unclear","","","",""
"Dotterud","2010","Pro-PACT","RCT","WHZ.REC","","2","0to4","Normal/low","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","138","8","140","12","High/Unclear","High/Unclear","","","",""
"Dotterud","2010","Pro-PACT","RCT"," ASany","SPT or sIgE - common","2","any","Normal/low","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","131","20","133","15","High/Unclear","High/Unclear","","","",""
"Enomoto","2014","Enomoto","CCT","AD","","1.5","0to4","Normal/low","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","94","9","31","8","High/Unclear","High/Unclear","","","",""
"Enomoto","2014","Enomoto","CCT","WHZ","","1.5","0to4","Normal/low","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","94","2","31","1","High/Unclear","High/Unclear","","","",""
"Gorrisen ","2014","PANDA","RCT","AD","","6","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Other","Other","39","13","44","14","High/Unclear","High/Unclear","","","",""
"Gorrisen ","2014","PANDA","RCT","WHZ","","6","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Other","Other","39","5","44","8","High/Unclear","High/Unclear","","","",""
"Gorrisen ","2014","PANDA","RCT","FAany","","6","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Other","Other","39","4","44","2","High/Unclear","High/Unclear","","","",""
"Gorrisen ","2014","PANDA","RCT","RC","","6","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Other","Other","39","5","44","1","High/Unclear","High/Unclear","","","",""
"Gruber","2010","MIPS-1","RCT","AD","","1","0to4","Normal/low","PRE-SYNB","PREBIOTICS","PREBIO.only","Infant only","Postnatal only","292","17","300","29","High/Unclear","High/Unclear","","","",""
"Gruber","2010","MIPS-1","RCT","AScm","sIgE - cow's milk","1","any","Normal/low","PRE-SYNB","PREBIOTICS","PREBIO.only","Infant only","Postnatal only","137","7","122","7","High/Unclear","High/Unclear","","","",""
"Gruber","2010","MIPS-1","RCT","ASegg","sIgE - egg","1","any","Normal/low","PRE-SYNB","PREBIOTICS","PREBIO.only","Infant only","Postnatal only","137","3","122","3","High/Unclear","High/Unclear","","","",""
"Ivakhnenko","2013","Ivakhnenko","RCT","AD","","1.5","0to4","Normal/low","PRE-SYNB","PREBIOTICS","No L.rhamnosus","Infant only","Postnatal only","62","3","53","9","High/Unclear","High/Unclear","","","",""
"Ivakhnenko","2013","Ivakhnenko","RCT","FAany","","1.5","0to4","Normal/low","PRE-SYNB","PREBIOTICS","No L.rhamnosus","Infant only","Postnatal only","62","3","53","9","High/Unclear","High/Unclear","","","",""
"Ivakhnenko","2013","Ivakhnenko","RCT","FAcm","","1.5","0to4","Normal/low","PRE-SYNB","PREBIOTICS","No L.rhamnosus","Infant only","Postnatal only","62","2","53","8","High/Unclear","High/Unclear","","","",""
"Kalliomaki","2003","Kalliomaki                   ","RCT","AD","","2","0to4","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","64","15","68","31","High/Unclear","High/Unclear","","","",""
"Kalliomaki","2003","Kalliomaki                   ","RCT","FAcm","","4","0to4","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","53","2","54","2","High/Unclear","High/Unclear","","","",""
"Kalliomaki","2003","Kalliomaki                   ","RCT","RC","","4","0to4","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","53","10","54","5","High/Unclear","High/Unclear","","","",""
"Kalliomaki","2003","Kalliomaki                   ","RCT","WHZ.REC","","4","0to4","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","53","3","54","1","High/Unclear","High/Unclear","","","",""
"Kalliomaki","2007","Kalliomaki                   ","RCT","AD","","7","5to14","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","53","23","62","41","High/Unclear","High/Unclear","","","",""
"Kalliomaki","2007","Kalliomaki                   ","RCT","RC","","7","5to14","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","53","12","62","6","High/Unclear","High/Unclear","","","",""
"Kalliomaki","2007","Kalliomaki                   ","RCT","WHZ.REC","","7","5to14","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","52","9","60","3","High/Unclear","High/Unclear","","","",""
"Kalliomaki","2001","Kalliomaki                   ","RCT"," ASany","SPT - common","2","any","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","61","11","65","9","Low","High/Unclear","","","",""
"Kalliomaki","2003","Kalliomaki                   ","RCT","ASpn","SPT - peanut","4","any","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","50","0","50","1","Low","High/Unclear","","","",""
"Kalliomaki","2001","Kalliomaki                   ","RCT","total IgE","","2","any","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","64","","68","","Low","High/Unclear","31.3","5.969","32.7","7.449"
"Kim","2010","Kim","RCT","AD","","1","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Other","Other","33","12","35","22","Low","High/Unclear","","","",""
"Kim","2010","Kim","RCT","AtopicAD","","1","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Other","Other","31","3","29","6","Low","High/Unclear","","","",""
"Kim","2010","Kim","RCT","AScm","sIgE - cow's milk","1","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Other","Other","31","9","29","11","High/Unclear","High/Unclear","","","",""
"Kim","2010","Kim","RCT"," ASegg","sIgE - egg","1","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Other","Other","31","9","29","8","High/Unclear","High/Unclear","","","",""
"Kim","2010","Kim","RCT"," ASfd","sIgE - food","1","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Other","Other","31","12","29","15","High/Unclear","High/Unclear","","","",""
"Kopp","2008","Kopp","RCT","AD","","2","0to4","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","50","19","44","14","Low","High/Unclear","","","",""
"Kopp","2008","Kopp","RCT","WHZ.REC","","2","0to4","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","50","13","44","4","Low","High/Unclear","","","",""
"Kopp","2008","Kopp","RCT"," ASaero","sIgE - aero","2","any","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","50","4","44","5","Low","High/Unclear","","","",""
"Kuitunen","2009","Kukkonen","RCT","AD","","5","5to14","High","PRE-SYNB","SYNBIOTICS","L.rhamnosus","Infant only","Other","445","175","446","193","High/Unclear","High/Unclear","","","",""
"Kuitunen","2009","Kukkonen","RCT","AD","","5","5to14","High","PRO-SYNB","SYNBIOTICS","L.rhamnosus","Infant only","Other","445","175","446","193","High/Unclear","High/Unclear","","","",""
"Kuitunen","2009","Kukkonen","RCT","AtopicAD","","5","5to14","High","PRE-SYNB","SYNBIOTICS","L.rhamnosus","Infant only","Other","445","107","446","112","High/Unclear","High/Unclear","","","",""
"Kuitunen","2009","Kukkonen","RCT","AtopicAD","","5","5to14","High","PRO-SYNB","SYNBIOTICS","L.rhamnosus","Infant only","Other","445","107","446","112","High/Unclear","High/Unclear","","","",""
"Kuitunen","2009","Kukkonen","RCT","RC","","5","5to14","High","PRE-SYNB","SYNBIOTICS","L.rhamnosus","Infant only","Other","445","92","446","85","High/Unclear","High/Unclear","","","",""
"Kuitunen","2009","Kukkonen","RCT","RC","","5","5to14","High","PRO-SYNB","SYNBIOTICS","L.rhamnosus","Infant only","Other","445","92","446","85","High/Unclear","High/Unclear","","","",""
"Kuitunen","2009","Kukkonen","RCT","WHZ.REC","","5","5to14","High","PRE-SYNB","SYNBIOTICS","L.rhamnosus","Infant only","Other","445","58","446","63","High/Unclear","High/Unclear","","","",""
"Kuitunen","2009","Kukkonen","RCT","WHZ.REC","","5","5to14","High","PRO-SYNB","SYNBIOTICS","L.rhamnosus","Infant only","Other","445","58","446","63","High/Unclear","High/Unclear","","","",""
"Kuitunen","2009","Kukkonen","RCT"," ASaero","SPT - aero","5","any","High","PRO-SYNB","SYNBIOTICS","L.rhamnosus","Infant only","Other","444","169","446","162","High/Unclear","High/Unclear","","","",""
"Kuitunen","2009","Kukkonen","RCT"," ASaero","SPT - aero","5","any","High","PRE-SYNB","SYNBIOTICS","L.rhamnosus","Infant only","Other","444","169","446","162","High/Unclear","High/Unclear","","","",""
"Kuitunen","2009","Kukkonen","RCT"," ASfd","SPT - food","5","any","High","PRO-SYNB","SYNBIOTICS","L.rhamnosus","Infant only","Other","443","92","446","105","High/Unclear","High/Unclear","","","",""
"Kuitunen","2009","Kukkonen","RCT"," ASfd","SPT - food","5","any","High","PRE-SYNB","SYNBIOTICS","L.rhamnosus","Infant only","Other","443","92","446","105","High/Unclear","High/Unclear","","","",""
"Kukkonen","2007","Kukkonen","RCT","AD","","2","0to4","High","PRE-SYNB","SYNBIOTICS","L.rhamnosus","Infant only","Other","461","120","464","150","High/Unclear","High/Unclear","","","",""
"Kukkonen","2007","Kukkonen","RCT","AD","","2","0to4","High","PRO-SYNB","SYNBIOTICS","L.rhamnosus","Infant only","Other","461","120","464","150","High/Unclear","High/Unclear","","","",""
"Kukkonen","2007","Kukkonen","RCT","AtopicAD","","2","0to4","High","PRE-SYNB","SYNBIOTICS","L.rhamnosus","Infant only","Other","459","57","463","82","High/Unclear","High/Unclear","","","",""
"Kukkonen","2007","Kukkonen","RCT","AtopicAD","","2","0to4","High","PRO-SYNB","SYNBIOTICS","L.rhamnosus","Infant only","Other","459","57","463","82","High/Unclear","High/Unclear","","","",""
"Kukkonen","2011","Kukkonen","RCT","WHZ","","5","5to14","High","PRE-SYNB","SYNBIOTICS","L.rhamnosus","Infant only","Other","64","4","67","4","High/Unclear","High/Unclear","","","",""
"Kukkonen","2011","Kukkonen","RCT","WHZ","","5","5to14","High","PRO-SYNB","SYNBIOTICS","L.rhamnosus","Infant only","Other","64","4","67","4","High/Unclear","High/Unclear","","","",""
"Kukkonen","2007","Kukkonen","RCT"," ASany","SPT - common","2","any","High","PRE-SYNB","SYNBIOTICS","L.rhamnosus","Infant only","Other","454","127","462","144","High/Unclear","High/Unclear","","","",""
"Kukkonen","2007","Kukkonen","RCT"," ASany","SPT - common","2","any","High","PRO-SYNB","SYNBIOTICS","L.rhamnosus","Infant only","Other","454","127","462","144","High/Unclear","High/Unclear","","","",""
"Kukkonen","2007","Kukkonen","RCT","total IgE","","2","any","High","PRO-SYNB","SYNBIOTICS","L.rhamnosus","Infant only","Other","456","","463","","High/Unclear","High/Unclear","25.7","2.092","27.2","2.449"
"Lau","2012","Lau","RCT","AD","","3","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Postnatal only","303","89","303","97","Low","High/Unclear","","","",""
"Lau","2012","Lau","RCT"," ASaero","sIgE - aero","0.6","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Postnatal only","253","4","273","3","Low","High/Unclear","","","",""
"Lau","2012","Lau","RCT"," ASfd","sIgE - food","0.6","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Postnatal only","253","114","273","121","Low","High/Unclear","","","",""
"Lodinov?-??dn?kov?","2010","Lodinov?-??dn?kov?","RCT","AD","","5","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Postnatal only","46","2","45","10","High/Unclear","High/Unclear","","","",""
"Lodinov?-??dn?kov?","2010","Lodinov?-??dn?kov?","RCT","FAany","","5","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Postnatal only","46","1","45","3","High/Unclear","High/Unclear","","","",""
"Lodinov?-??dn?kov?","2010","Lodinov?-??dn?kov?","RCT","WHZ","","5","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Postnatal only","46","1","45","2","High/Unclear","High/Unclear","","","",""
