"FirstAuthor","YearOfPublication","StudyName","StudyDesign","SpecificOutcome","OutcomeSubgroup","AgeAtOutcome","AgeAtOutcomeGroup","DiseaseRisk","Intervention","InterventionGroup","TypeOfBacteria","MaternalInfantAdministration","TimeOfIntervention","TotalNInter","NEventsInter","TotalNCtrl","NEventsCtrl","OverallRiskOfBias","ConflictOfInterestBias","MeanInter","SdInter","MeanCtrl","SdCtrl"
"Lodinov?-??dn?kov?","2010","Lodinov?-??dn?kov?","RCT"," ASany","sIgE - common","1","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Postnatal only","56","4","57","11","High/Unclear","High/Unclear","","","",""
"Morisset","2008","Morisset","RCT","FAcm","","1","0to4","High","PRO-SYNB","PROBIOTICS","Unclear","Other","Postnatal only","59","6","56","9","High/Unclear","High/Unclear","","","",""
"Morisset","2008","Morisset","RCT","AScm","sIgE - cow's milk","1","any","High","PRO-SYNB","PROBIOTICS","Unclear","Other","Postnatal only","59","1","56","7","High/Unclear","High/Unclear","","","",""
"Niers","2009","PandA","RCT","AD","","2","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","50","27","48","33","High/Unclear","High/Unclear","","","",""
"Niers","2009","PandA","RCT","AtopicAD","","2","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","50","10","48","8","High/Unclear","High/Unclear","","","",""
"Niers","2009","PandA","RCT"," ASaero","SPT - aero","2","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","46","3","47","1","High/Unclear","High/Unclear","","","",""
"Niers","2009","PandA","RCT"," ASany","SPT - common","2","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","46","4","47","4","High/Unclear","High/Unclear","","","",""
"Niers","2009","PandA","RCT"," ASfd","SPT - food","2","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Other","46","2","47","3","High/Unclear","High/Unclear","","","",""
"Ou","2012","Ou","RCT","AD","","3","0to4","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","65","16","64","16","High/Unclear","High/Unclear","","","",""
"Ou","2012","Ou","RCT","RC","","3","0to4","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","65","15","64","13","High/Unclear","High/Unclear","","","",""
"Ou","2012","Ou","RCT","WHZ","","3","0to4","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","65","14","64","11","High/Unclear","High/Unclear","","","",""
"Ou","2012","Ou","RCT"," ASany","sIgE - common","1.5","any","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","58","21","58","16","High/Unclear","High/Unclear","","","",""
"Prescott","2008","Taylor","RCT","AD","","2.5","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Postnatal only","74","31","76","25","High/Unclear","Low","","","",""
"Prescott","2008","Taylor","RCT","AtopicAD","","2.5","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Postnatal only","75","17","72","12","High/Unclear","Low","","","",""
"Prescott","2008","Taylor","RCT","WHZ","","2.5","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Postnatal only","76","18","74","13","High/Unclear","Low","","","",""
"Prescott","2008","Taylor","RCT","WHZ.REC","","2.5","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Postnatal only","74","5","77","7","High/Unclear","Low","","","",""
"Prescott","2008","Taylor","RCT"," ASaero","SPT - aero","2.5","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Postnatal only","71","20","69","18","High/Unclear","Low","","","",""
"Prescott","2008","Taylor","RCT"," ASany","SPT - common","2.5","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Postnatal only","71","24","69","20","High/Unclear","Low","","","",""
"Prescott","2008","Taylor","RCT","AScm","SPT - cow's milk","2.5","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Postnatal only","71","1","69","5","High/Unclear","Low","","","",""
"Prescott","2008","Taylor","RCT"," ASegg","SPT - egg","2.5","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Postnatal only","71","11","69","8","High/Unclear","Low","","","",""
"Prescott","2008","Taylor","RCT"," ASfd","SPT - food","2.5","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Postnatal only","71","14","69","12","High/Unclear","Low","","","",""
"Prescott","2008","Taylor","RCT","ASpn","SPT - peanut","2.5","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Postnatal only","79","11","69","6","High/Unclear","Low","","","",""
"Rautava","2006","Rautava 2006","RCT","AtopicAD","","1","0to4","Normal/low","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","32","4","40","8","High/Unclear","Low","","","",""
"Rautava","2006","Rautava 2006","RCT","FAcm","","1","0to4","Normal/low","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","32","0","40","3","High/Unclear","Low","","","",""
"Rautava","2006","Rautava 2006","RCT","AScm","SPT - cow's milk","1","any","Normal/low","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","32","0","40","1","High/Unclear","Low","","","",""
"Rautava (A)","2012","Rautava Multi 1","RCT","AD","","2","0to4","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","73","21","31","22","Low","Low","","","",""
"Rautava (A)","2012","Rautava Multi 1","RCT"," ASany","SPT - common","2","any","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","76","17","33","9","Low","Low","","","",""
"Rautava (B)","2012","Rautava Multi 2","RCT","AD","","2","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Other","Other","70","20","31","22","Low","Low","","","",""
"Rautava (B)","2012","Rautava Multi 2","RCT"," ASany","SPT - common","2","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Other","Other","73","19","33","9","Low","Low","","","",""
"Roze","2012","Roze","RCT","AD","","0.5","0to4","Normal/low","PRE-SYNB","SYNBIOTICS","L.rhamnosus","Infant only","Postnatal only","39","1","45","8","Low","High/Unclear","","","",""
"Roze","2011","Roze","RCT","AD","","0.5","0to4","Normal/low","PRO-SYNB","SYNBIOTICS","L.rhamnosus","Infant only","Postnatal only","39","1","45","8","Low","High/Unclear","","","",""
"Scalabrin","2017","Scalabrin","RCT","AD","","3","0to4","Normal/low","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","46","19","52","16","High/Unclear","High/Unclear","","","",""
"Scalabrin","2017","Scalabrin","RCT","WHZ","","3","0to4","Normal/low","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","46","15","52","12","High/Unclear","High/Unclear","","","",""
"Scalabrin","2017","Scalabrin","RCT","RC","","3","0to4","Normal/low","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","46","0","52","2","High/Unclear","High/Unclear","","","",""
"Scalabrin","2017","Scalabrin","RCT","FAany","","3","0to4","Normal/low","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","46","3","52","0","High/Unclear","High/Unclear","","","",""
"Scalabrin","2017","Scalabrin","RCT","AD","","5","5to14","Normal/low","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","36","16","32","11","High/Unclear","High/Unclear","","","",""
"Scalabrin","2017","Scalabrin","RCT","WHZ","","5","5to14","Normal/low","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","36","9","32","10","High/Unclear","High/Unclear","","","",""
"Scalabrin","2017","Scalabrin","RCT","RC","","5","5to14","Normal/low","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","36","5","32","3","High/Unclear","High/Unclear","","","",""
"Scalabrin","2017","Scalabrin","RCT","FAany","","5","5to14","Normal/low","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","36","2","32","1","High/Unclear","High/Unclear","","","",""
"Sierra","2015","Sierra","RCT"," ASany","SPT - common","1","any","Normal/low","PRE-SYNB","PREBIOTICS","No L.rhamnosus","Infant only","Postnatal only","85","6","84","9","High/Unclear","High/Unclear","","","",""
"Sierra","2015","Sierra","RCT","AScm","SPT - cow's milk","1","any","Normal/low","PRE-SYNB","PREBIOTICS","No L.rhamnosus","Infant only","Postnatal only","85","2","84","2","High/Unclear","High/Unclear","","","",""
"Sierra","2015","Sierra","RCT","ASegg","SPT - egg","1","any","Normal/low","PRE-SYNB","PREBIOTICS","No L.rhamnosus","Infant only","Postnatal only","85","6","84","1","High/Unclear","High/Unclear","","","",""
"Sierra","2015","Sierra","RCT"," ASfd","SPT - food","1","any","Normal/low","PRE-SYNB","PREBIOTICS","No L.rhamnosus","Infant only","Postnatal only","85","6","84","3","High/Unclear","High/Unclear","","","",""
"Simpson ","2015","Pro-PACT","RCT","AD","","6","5to14","Normal/low","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","81","22","82","36","High/Unclear","High/Unclear","","","",""
"Simpson ","2015","Pro-PACT","RCT","WHZ","","6","5to14","Normal/low","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","132","46","142","55","High/Unclear","High/Unclear","","","",""
"Simpson ","2015","Pro-PACT","RCT","WHZ.REC","","6","5to14","Normal/low","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","136","3","145","1","High/Unclear","High/Unclear","","","",""
"Simpson ","2015","Pro-PACT","RCT","RC","","6","5to14","Normal/low","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","134","22","145","20","High/Unclear","High/Unclear","","","",""
"Simpson ","2015","Pro-PACT","RCT","ASany","SPT or sIgE - common","6","any","Normal/low","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","80","23","78","19","High/Unclear","High/Unclear","","","",""
"Soh","2009","Soh","RCT","AD","","1","0to4","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","124","27","121","30","High/Unclear","High/Unclear","","","",""
"Soh","2009","Soh","RCT","AtopicAD","","1","0to4","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","123","9","121","7","High/Unclear","High/Unclear","","","",""
"Soh","2009","Soh","RCT","AD","","5","5to14","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","124","31","121","38","High/Unclear","High/Unclear","","","",""
"Soh","2009","Soh","RCT","FAany","","5","5to14","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","117","1","109","1","High/Unclear","High/Unclear","","","",""
"Soh","2009","Soh","RCT","RC","","5","5to14","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","124","16","121","23","High/Unclear","High/Unclear","","","",""
"Soh","2009","Soh","RCT","WHZ.REC","","5","5to14","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","124","26","121","25","High/Unclear","High/Unclear","","","",""
"Soh","2009","Soh","RCT"," ASaero","SPT - aero","1","any","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","123","24","121","20","High/Unclear","High/Unclear","","","",""
"Soh","2009","Soh","RCT"," ASany","SPT - common","1","any","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","123","30","121","23","High/Unclear","High/Unclear","","","",""
"Soh","2009","Soh","RCT"," ASegg","SPT - egg","1","any","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","123","6","120","6","High/Unclear","High/Unclear","","","",""
"Soh","2009","Soh","RCT"," ASfd","SPT - food","1","any","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","123","7","120","6","High/Unclear","High/Unclear","","","",""
"Soh","2009","Soh","RCT","total IgE","","1","any","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","124","","121","","High/Unclear","High/Unclear","18.76","3.173","23.13","3.628"
"Taylor","2007","Taylor","RCT","FAany","","1","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Postnatal only","88","14","87","9","Low","Low","","","",""
"Taylor","2012","Taylor","RCT","AD","","5","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Postnatal only","62","19","56","9","High/Unclear","Low","","","",""
"Taylor","2012","Taylor","RCT","AtopicAD","","5","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Postnatal only","60","13","54","7","High/Unclear","Low","","","",""
"Taylor","2012","Taylor","RCT","FAany","","5","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Postnatal only","64","8","51","3","High/Unclear","Low","","","",""
"Taylor","2012","Taylor","RCT","RC","","5","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Postnatal only","58","8","50","9","High/Unclear","Low","","","",""
"Taylor","2012","Taylor","RCT","WHZ","","5","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Postnatal only","64","14","53","6","High/Unclear","Low","","","",""
"Taylor","2012","Taylor","RCT","WHZ.REC","","5","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Infant only","Postnatal only","66","8","57","5","High/Unclear","Low","","","",""
"Van der Aa","2010","Van der Aa","RCT","WHZ","","1","0to4","High","PRO-SYNB","SYNBIOTICS","No L.rhamnosus","Infant only","Postnatal only","36","1","39","12","Low","High/Unclear","","","",""
"Van der Aa","2010","Van der Aa","RCT","WHZ.REC","","1","0to4","High","PRE-SYNB","SYNBIOTICS","No L.rhamnosus","Infant only","Postnatal only","36","5","39","13","Low","High/Unclear","","","",""
"Van der Aa","2010","Van der Aa","RCT","WHZ.REC","","1","0to4","High","PRO-SYNB","SYNBIOTICS","No L.rhamnosus","Infant only","Postnatal only","36","5","39","13","Low","High/Unclear","","","",""
"Van des Aa","2010","Van der Aa","RCT"," ASaero","sIgE - aero","1","any","High","PRO-SYNB","SYNBIOTICS","No L.rhamnosus","Infant only","Postnatal only","29","3","33","5","High/Unclear","High/Unclear","","","",""
"West","2009","West","RCT","AD","","1","0to4","Normal/low","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","84","9","87","19","High/Unclear","Low","","","",""
"West","2009","West","RCT","RC","","1","0to4","Normal/low","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","84","1","87","0","High/Unclear","Low","","","",""
"West","2009","West","RCT","WHZ","","1","0to4","Normal/low","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","84","2","87","5","High/Unclear","Low","","","",""
"West","2009","West","RCT","AD","","8","5to14","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","59","16","62","19","High/Unclear","Low","","","",""
"West","2009","West","RCT","AtopicAD","","8","5to14","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","53","4","59","7","High/Unclear","Low","","","",""
"West","2009","West","RCT","FAany","","8","5to14","Normal/low","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","59","5","62","6","High/Unclear","Low","","","",""
"West","2009","West","RCT","LFrev","","8","5to14","Normal/low","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","58","1","59","5","High/Unclear","Low","","","",""
"West","2009","West","RCT","RC","","8","5to14","Normal/low","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","58","8","62","6","High/Unclear","Low","","","",""
"West","2009","West","RCT","WHZ","","8","5to14","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","59","22","62","14","High/Unclear","Low","","","",""
"West","2009","West","RCT","WHZ.REC","","8","5to14","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","59","12","62","12","High/Unclear","Low","","","",""
"West","2009","West","RCT"," ASaero","sIgE - aero","8","any","Normal/low","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","58","15","60","14","High/Unclear","Low","","","",""
"West","2009","West","RCT"," ASany","sIgE - common","1","any","Normal/low","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","81","7","82","9","High/Unclear","Low","","","",""
"West","2009","West","RCT"," ASfd","sIgE - food","8","any","Normal/low","PRO-SYNB","PROBIOTICS","L.rhamnosus","Infant only","Postnatal only","54","9","60","10","High/Unclear","Low","","","",""
"Wickens","2013","Wickens","RCT","Fev1_percFVC","","6","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Other","Other","142","","73","","Low","Low","82.80985915","0.792191954","84.1","0.765306122"
"Wickens ","2013","Wickens","RCT","total IgE","","6","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Other","Other","194","","98","","Low","Low","87.34690722","26.56846575","104.3","19.64285714"
"Wickens (2A)","2013","Wickens 2A","RCT","AD","","6","5to14","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","112","26","64.5","21.5","Low","Low","","","",""
"Wickens (2A)","2013","Wickens 2A","RCT","LFrev","","6","5to14","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","52","8","31","4.5","Low","Low","","","",""
"Wickens (2A)","2013","Wickens 2A","RCT","RC","","6","5to14","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","134","22","144","22","Low","Low","","","",""
"Wickens (2A)","2013","Wickens 2A","RCT","WHZ","","6","5to14","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","134","35","144","41","Low","Low","","","",""
"Wickens (2A)","2013","Wickens 2A","RCT","WHZ.REC","","6","5to14","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","134","31","144","35","Low","Low","","","",""
"Wickens (2B)","2013","Wickens 2B","RCT","AD","","6","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Other","Other","133","41","64.5","21.5","Low","Low","","","",""
"Wickens (2B)","2013","Wickens 2B","RCT","LFrev","","6","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Other","Other","60","6","31","4.5","Low","Low","","","",""
"Wickens (2B)","2013","Wickens 2B","RCT","RC","","6","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Other","Other","144","21","144","22","Low","Low","","","",""
"Wickens (2B)","2013","Wickens 2B","RCT","WHZ","","6","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Other","Other","144","40","144","41","Low","Low","","","",""
"Wickens (2B)","2013","Wickens 2B","RCT","WHZ.REC","","6","5to14","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Other","Other","144","37","144","35","Low","Low","","","",""
"Wickens (A)","2008","Wickens 1A","RCT"," ASany","SPT - common","2","any","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","141","30","73","21","Low","Low","","","",""
"Wickens (A)","2008","Wickens 1A","RCT"," ASfd","SPT - food","2","any","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","141","22","73","16","Low","Low","","","",""
"Wickens (A)","2012","Wickens 2A","RCT","AD","","4","0to4","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","157","51","80","39","Low","Low","","","",""
"Wickens (A)","2012","Wickens 2A","RCT","AtopicAD","","4","0to4","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","157","28","80","22","Low","Low","","","",""
"Wickens (A)","2012","Wickens 2A","RCT","RC","","4","0to4","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","136","8","72","11","Low","Low","","","",""
"Wickens (A)","2012","Wickens 2A","RCT","WHZ","","4","0to4","High","PRO-SYNB","PROBIOTICS","L.rhamnosus","Other","Other","157","86","80","51","Low","Low","","","",""
"Wickens (B)","2008","Wickens 1B","RCT"," ASany","SPT - common","2","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Other","Other","149","35","73","21","Low","Low","","","",""
"Wickens (B)","2008","Wickens 1B","RCT"," ASfd","SPT - food","2","any","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Other","Other","149","22","73","16","Low","Low","","","",""
"Wickens (B)","2012","Wickens 2B","RCT","AD","","4","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Other","Other","158","","80","","Low","Low","","","",""
"Wickens (B)","2012","Wickens 2B","RCT","AtopicAD","","4","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Other","Other","158","","80","","Low","Low","","","",""
"Wickens (B)","2012","Wickens 2B","RCT","RC","","4","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Other","Other","158","","72","","Low","Low","","","",""
"Wickens (B)","2012","Wickens 2B","RCT","WHZ","","4","0to4","High","PRO-SYNB","PROBIOTICS","No L.rhamnosus","Other","Other","158","","80","","Low","Low","","","",""
"Ziegler","2007","Ziegler","RCT","AD","","0.3","0to4","Normal/low","PRE-SYNB","PREBIOTICS","PREBIO.only","Infant only","Postnatal only","106","","58","","High/Unclear","High/Unclear","","","",""
